dataset	original_id	ensembl	symbol	mapping_source	duplicate_status	included	exclusion_reason
OKSA	ENSG00000005194	ENSG00000005194	CIAPIN1	ensembl_from_source	unique	True	
OKSA	ENSG00000005206	ENSG00000005206	SPPL2B	ensembl_from_source	unique	True	
OKSA	ENSG00000005238	ENSG00000005238	ATOSB	ensembl_from_source	unique	True	
OKSA	ENSG00000005249	ENSG00000005249	PRKAR2B	ensembl_from_source	unique	True	
OKSA	ENSG00000005302	ENSG00000005302	MSL3	ensembl_from_source	unique	True	
OKSA	ENSG00000005339	ENSG00000005339	CREBBP	ensembl_from_source	unique	True	
OKSA	ENSG00000005379	ENSG00000005379	TSPOAP1	ensembl_from_source	unique	True	
OKSA	ENSG00000005381	ENSG00000005381	MPO	ensembl_from_source	unique	True	
OKSA	ENSG00000005436	ENSG00000005436	GCFC2	ensembl_from_source	unique	True	
OKSA	ENSG00000005448	ENSG00000005448	WDR54	ensembl_from_source	unique	True	
OKSA	ENSG00000005469	ENSG00000005469	CROT	ensembl_from_source	unique	True	
OKSA	ENSG00000005471	ENSG00000005471	ABCB4	ensembl_from_source	unique	True	
OKSA	ENSG00000005483	ENSG00000005483	KMT2E	ensembl_from_source	unique	True	
OKSA	ENSG00000005486	ENSG00000005486	RHBDD2	ensembl_from_source	unique	True	
OKSA	ENSG00000005513	ENSG00000005513	SOX8	ensembl_from_source	unique	True	
OKSA	ENSG00000005700	ENSG00000005700	IBTK	ensembl_from_source	unique	True	
OKSA	ENSG00000005801	ENSG00000005801	ZNF195	ensembl_from_source	unique	True	
OKSA	ENSG00000005810	ENSG00000005810	MYCBP2	ensembl_from_source	unique	True	
OKSA	ENSG00000005812	ENSG00000005812	FBXL3	ensembl_from_source	unique	True	
OKSA	ENSG00000005844	ENSG00000005844	ITGAL	ensembl_from_source	unique	True	
OKSA	ENSG00000005882	ENSG00000005882	PDK2	ensembl_from_source	unique	True	
OKSA	ENSG00000005884	ENSG00000005884	ITGA3	ensembl_from_source	unique	True	
OKSA	ENSG00000005889	ENSG00000005889	ZFX	ensembl_from_source	unique	True	
OKSA	ENSG00000005893	ENSG00000005893	LAMP2	ensembl_from_source	unique	True	
OKSA	ENSG00000005961	ENSG00000005961	ITGA2B	ensembl_from_source	unique	True	
OKSA	ENSG00000006007	ENSG00000006007	GDE1	ensembl_from_source	unique	True	
OKSA	ENSG00000006015	ENSG00000006015	REX1BD	ensembl_from_source	unique	True	
OKSA	ENSG00000006025	ENSG00000006025	OSBPL7	ensembl_from_source	unique	True	
OKSA	ENSG00000006062	ENSG00000006062	MAP3K14	ensembl_from_source	unique	True	
OKSA	ENSG00000006118	ENSG00000006118	TMEM132A	ensembl_from_source	unique	True	
OKSA	ENSG00000006125	ENSG00000006125	AP2B1	ensembl_from_source	unique	True	
OKSA	ENSG00000006194	ENSG00000006194	ZNF263	ensembl_from_source	unique	True	
OKSA	ENSG00000006282	ENSG00000006282	SPATA20	ensembl_from_source	unique	True	
OKSA	ENSG00000006283	ENSG00000006283	CACNA1G	ensembl_from_source	unique	True	
OKSA	ENSG00000006327	ENSG00000006327	TNFRSF12A	ensembl_from_source	unique	True	
