marker	n_evaluable	n_poor	n_good	n_missing_in_cohort	median_poor	median_good	HL_shift	HL_CI_lo	HL_CI_hi	cliffs_delta	cliffs_CI_lo	cliffs_CI_hi	U	P	expected_direction	observed_direction	era_strata	BH_q_2markers
CD34	31	9	22	84	86.0	63.9	17.15	-1.7000000000000028	39.00874999999924	0.31313131313131315	-0.07070707070707072	0.6767676767676767	130.0	0.18435128989687255	higher in poor response	higher in poor	{'2020': np.int64(31)}	0.18435128989687255
CD38	15	5	10	100	31.6	86.25	-36.2	-80.6	-9.0	-0.64	-1.0	-0.12	9.0	0.057426324333811174	lower in poor response	lower in poor	{'2020': np.int64(15)}	0.11485264866762235
