statistic	observed	ci_low	ci_high	boot_mean	boot_sd	n_bootstraps	n_genes	resample_unit
spearman_rho	0.7937219372307975	0.7346658579201492	0.8393570394537674	0.7907901567836847	0.026808132601215208	10000	219	gene
direction_concordance_pct	86.7579908675799	82.1917808219178	90.8675799086758	86.73018264840182	2.258137045745975	10000	219	gene
