comparison	delta_rho	CI_lo	CI_hi	frac_null_ge
rho(Oksa-Li194) - rho(Oksa-TARGET)	0.4482167808902789	0.2715144443679551	0.6315049016795373	0.4798
rho(Oksa-Li194) - rho(Li194-TARGET)	0.4122612948299954	0.24192439951005773	0.5914014664698841	0.48245
