repeat,nested_cv_auc,nested_cv_balanced_accuracy,median_selected_genes
1,0.99,0.9564035087719299,10.0
2,0.9894736842105264,0.9897368421052631,10.0
3,1.0,0.9897368421052631,10.0
4,0.99,0.99,10.0
5,0.99,0.99,10.0
6,1.0,0.99,10.0
7,0.9947368421052631,0.9947368421052631,10.0
8,0.99,0.9949999999999999,10.0
9,0.9949999999999999,0.9566666666666667,10.0
10,0.9933333333333334,0.9949999999999999,10.0
