k,silhouette,event_chi2,event_permutation_p,event_bh_fdr,event_by_fdr,event_holm_fwer
2,0.2756242559789086,0.2065934065934066,1.0,1.0,1.0,1.0
3,0.2748885469041629,0.4161593801881571,1.0,1.0,1.0,1.0
4,0.3309362374695437,0.4164648445008265,1.0,1.0,1.0,1.0
5,0.3085804415586177,0.9799934206919237,0.850383205598134,1.0,1.0,1.0
6,0.30591111594648995,1.4662769576750083,0.8953682105964679,1.0,1.0,1.0
