feature_category,screened_feature_n,min_univariable_p,min_univariable_bh_fdr
deletion,11,0.1819560312664212,0.8267228840268153
structural_chromosome_involvement,11,0.149452405558029,0.8267228840268153
structural_event_type,5,0.1032966602292591,0.8267228840268153
whole_chromosome_numerical,5,0.0087908533521245,0.3076798673243577
karyotype_pattern,4,0.4201251261726297,0.8267228840268153
abnormality_burden,2,0.0512893349396122,0.8267228840268153
specific_translocation,1,0.6593775631841711,0.9615052895255328
