cohort,model,n,events,penalizer,apparent_c_index,candidate_score_hr,candidate_score_ci_low,candidate_score_ci_high,candidate_score_p,bootstrap_requested,bootstrap_valid,bootstrap_failed,mean_optimism,optimism_corrected_c_index
TARGET,MRD only,141,24,0.5,0.6787979966611019,,,,,1000,1000,0,-0.0010016265576276548,0.6797996232187296
TARGET,MRD + candidate score,141,24,0.5,0.7191986644407345,1.215344026893815,0.9530220935072197,1.549870788693614,0.11592833109741454,1000,1000,0,0.005559107502007226,0.7136395569387273
Single-center historical,MRD only,56,5,0.5,0.6137931034482759,,,,,1000,752,248,0.04825019927396865,0.5655429041743072
Single-center historical,MRD + candidate score,56,5,0.5,0.6137931034482759,0.9843876575091238,0.2877623248241585,3.3674285223002487,0.9799940730810986,1000,752,248,0.050340762179495374,0.5634523412687805
