cohort,variable,penalizer,n,events,hr,ci_low,ci_high,p,c_index,ph_test_p
TARGET,candidate_score,0.05,141,24,1.7214960786576465,1.1844007461787402,2.502150356114702,0.004413885291386098,0.653923205342237,0.21870251255984002
TARGET,candidate_score_high,0.05,141,24,2.2248401045970847,1.054566518476614,4.693789727151608,0.03577743076619802,0.620534223706177,0.34087989781728356
Single-center historical,candidate_score,0.05,59,5,0.8913714576441615,0.02528934657352914,31.418094302774172,0.9495531770528967,0.503125,
Single-center historical,candidate_score_high,0.05,59,5,0.8560694165446014,0.002537713330630905,288.7855129644679,0.9582700835959967,0.503125,
