cohort,n,events,apparent_delta_c,optimism_corrected_delta_c,paired_bootstrap_test_delta_median,paired_bootstrap_test_delta_ci_low,paired_bootstrap_test_delta_ci_high,bootstrap_valid,interpretation
TARGET,141,24,0.04040066777963269,0.03383993371999772,0.04340567612687807,0.0220367278797996,0.048414023372287174,1000,conditional internal assessment of a fixed post hoc score
Single-center historical,56,5,0.0,-0.0020905629055266717,0.0,0.0,0.006896551724137945,752,conditional internal assessment of a fixed post hoc score
