group_variable,group,n,efs_events,event_rate,event_rate_ci_low,event_rate_ci_high
risk_group,HR,5,2,0.4,0.11762077423264788,0.7692757187239871
risk_group,IR,9,1,0.1111111111111111,0.019890887638544935,0.4349997055766561
risk_group,LR,59,4,0.06779661016949153,0.02667861897130437,0.16175524368744498
karyotype_class,Abnormal,11,2,0.18181818181818182,0.051367689746085105,0.47698056196084426
karyotype_class,Normal,47,3,0.06382978723404255,0.021945385205433238,0.17162614183124442
karyotype_class,Other/unclear,1,0,0.0,0.0,0.7934506856227627
karyotype_class,Uninformative,14,2,0.14285714285714285,0.04009392127146488,0.39941379496970353
treatment_era,ALL2005/2009,32,6,0.1875,0.08889544689565951,0.35309155201375964
treatment_era,ALL2015,41,1,0.024390243902439025,0.004318531568912411,0.12595062055774234
