factor,variable,n,events,positive_n,positive_events,hr,ci_low,ci_high,p,status
IR/HR vs LR,risk_ir_hr,73,7,14,3,1.8573477371156626,0.402083615675852,8.579659757511115,0.4277676610168769,Univariable Cox; exploratory
D19 MRD >=0.01%,d19_ge_001,69,6,41,5,2.9495299780569013,0.34419680658953883,25.27544394632032,0.3237052161983165,Univariable Cox; exploratory
Abnormal vs other karyotype,abnormal_karyotype,73,7,11,2,1.868471478944841,0.35903378245289913,9.723836135359551,0.45760440790879087,Univariable Cox; exploratory
Complex karyotype,complex_karyotype,73,7,2,1,11.146901304820132,1.230180562495735,101.00420416928148,0.03201789247130076,Univariable Cox; exploratory
Age >=10 years,age_ge10,73,7,3,1,3.690452113845604,0.4409240059788963,30.888399406493978,0.228377826773279,Univariable Cox; exploratory
WBC >=50,wbc_ge50,73,7,4,0,,,,,Not estimable because of separation
Male sex,male,73,7,40,4,1.2109856401398251,0.2709139817474851,5.4131064449517865,0.8021443623286499,Univariable Cox; exploratory
ALL2015 vs ALL2005/2009,era_2015,73,7,41,1,0.31052174978760805,0.033246736074807805,2.9002473167349936,0.30493559103514084,Univariable Cox; exploratory
