analysis,patients,efs_events,os_events,efs_5y,efs_10y,os_5y,os_10y
primary_all_records,73,7,3,0.8739061170324166,0.8415392238089938,0.9440313111545987,0.9440313111545987
sensitivity_excluding_zero_time_record,72,6,2,0.8860437019912001,0.8532272685841186,0.9571428571428569,0.9571428571428569
