cohort,exposure,n,events,hr,ci_low,ci_high,p,c_index
TARGET,gain16,141,24,3.6653237952644844,1.2595296481467415,10.6663614817639,0.017156437227543498,0.5550918196994992
TARGET,high_abnormal_burden,141,24,1.8939222052979574,0.9223954136245395,3.8887241488179605,0.08187841126520862,0.6006677796327212
TARGET,del6q,141,24,1.6430183265128337,0.654526531874647,4.12436943316155,0.29033757316614184,0.5429048414023372
TARGET,grs,141,24,1.7151900166856007,1.1777197971759499,2.497942889634926,0.004911503897024527,0.6512520868113523
TARGET,grs_high,141,24,2.1729041510778138,1.0289220176874379,4.588795232881758,0.0418793552948434,0.6165275459098497
single_center_historical,grs,59,5,8.7318250982424,0.7976627780778178,95.58521676293844,0.07592969291923214,0.56875
single_center_historical,grs_high,59,5,8.7318250982424,0.7976627780778178,95.58521676293844,0.07592969291923214,0.56875
