cohort,model,n,events,c_index,log_mrd_hr,log_mrd_p,grs_hr,grs_p
TARGET,log_mrd,141,24,0.6787979966611019,1.1998610519053536,0.05963253135517812,,
TARGET,log_mrd+grs,141,24,0.7173622704507513,1.1943102709182047,0.06681676155541455,1.2132173018009098,0.12021761829386392
single_center_historical,log_mrd,56,5,0.6137931034482759,1.0370002559226872,0.7683656755596412,,
single_center_historical,log_mrd+grs,56,5,0.6724137931034483,1.0357058746396532,0.7762613656399744,1.750224407132554,0.4757471652211136
